,meaning,KEY-MEANING
5115,Patyk,STICK
5116,Jojo(postać z bajki) ,CHARACTER
5117,Dynia,PUMPKIN
5118,Masz,HAVE
5119,Puść,LET-GO
5120,Tutaj,HERE
5121,Tata,DAD
5122,Ciocia Agata,AUNT
5123,Lew,LION
5124,Krokodyl,CROCODILE
5125,Babcia,GRANDMA
5126,Piłka,BALL
5127,"Ptaki, kury",BIRD
5128,"Ptaki, kury",HEN
5129,Mama,MOM
5130,Pies,DOG
5131,Jedzenie ,FOOD
5132,Owca,SHEEP
5133,Auto,CAR
5134,Pyszne,YUMMY
5135,Owca,SHEEP
5136,Dziadek,GRANDPA
5137,Pszczoła,BEE
5138,Buty,SHOES
5139,Dzik,BOAR
5140,Byk,BULL
5141,Bóbr,BEAVER
5142,Kopyto,HOOF
5143,Smoczek,PACIFIER
5144,Pada deszcz,RAIN
5145,Gołąb,DOVE
5146,Kot,CAT
5147,Rak,CRAWFISH
5148,Krab,CRAB
5149,Kupa,POOP
5150,Sikać,PEE
5151,Zegar,CLOCK
5152,Rak,CRAWFISH
5153,Szafa,WARDROBE
5154,Motor,MOTORCYCLE
5155,Jeż,HEDGEHOG
5156,Liść,LEAF
5157,Niebo,SKY
5158,"Samolot, ptak, latać",BIRD
5159,"Samolot, ptak, latać",FLYING
5160,"Samolot, ptak, latać",PLANE
5161,Tu,HERE
5162,Kamień,STONE
5163,Słoń,ELEPHANT
5164,Trzy,THREE
5165,Sześć,SIX
5166,Mysz,MOUSE
5167,Koniec,END 
5168,Szafa,WARDROBE
5169,Lis,FOX
5170,Emu,EMU
5171,Lew,LION
5172,Krzak,BUSH
5173,Ptak,BIRD
5174,Klucze,KEY
5175,Chleb,BREAD
5176,Karma,FEED
5177,Nie działa,DOESNT-WORK
5178,Ucho,EAR
5179,Miś,TEDDY-BEAR
5180,Piłka,BALL
5181,Hamak,HAMMOCK
5182,Miś,TEDDY-BEAR
5183,Nos,NOSE
5184,Czoło,FOREHEAD
5185,Kość,BONE
5186,Hipopotam,HIPPO
5187,Pojechało,DRIVE
5188,Leci,FLYING
5189,Pojechało,DRIVE
5190,Lata,FLYING
5191,Boli,HURTS
5192,Kakao,COCOA
5193,Stopa,FEET
5194,Kolano,KNEE
5195,Łyżka,SPOON
5196,Krzeszło,CHAIR
5197,Lampa,LAMP
5198,Ogon,TAIL
5199,ślimak,SNAIL
5200,Mrówka,ANT
5201,ślimak,SNAIL
5202,Ważka,DRAGONFLY
5203,Pić,DRINK
5204,Choddź,COME
5205,Kolano,KNEE
5206,Kochanie,DARLING
5207,Kochamy się,LOVE
5208,Dziękuje,THANK-YOU
5209,Spadło,FALLING
5210,Radiowóz,POLICE-CAR
5211,Taxi,TAXI
5212,Bartek,PERSON
5213,Maciek,PERSON
5214,Wujek,UNCLE
5215,Anioł,ANGEL
5216,Chrupek,PUFFCORN
5217,Popatrz,LOOK
5218,Pająk,SPIDER
5219,Dziewczynka,GIRL
5220,Pająk,SPIDER
5221,Spadło,FALLING
5222,Koparka,EXCAVATOR
5223,Traktor,TRACTOR
5224,Samolot,PLANE
5225,Helikopter,HELICOPTER
5226,Koparka,EXCAVATOR
5227,Jedzenie,FOOD
5228,Jak coś upada,BAM
5229,"Pokazuje gdzie coś jest i mówi ""tam""",THERE
5230,Jak pokazuje palcem na psa,DOG
5231,Szczekanie,DOG
5232,Muczenie,COW
5233,Pies,DOG
5234,Krowa ,COW
5235,Z piosenki i koń,CHARACTER
5236,świnia,PIG
5237,Sowa,OWL
5238,Auto,CAR
5239,Ćwir ćwir jak ptaszek,BIRD
5240,Nie,NO
5241,Pociąg ,TRAIN
5242,Chce,WANT
5243,Jeszcze,MORE
5244,Miś,TEDDY-BEAR
5245,Pies,DOG
5246,Jedzenie,FOOD
5247,Serce,HEART
5248,Ciocia w zlobku,NANNY
5249,Kto to,WHO-IS-THIS
5250,Dziadek,GRANDPA
5251,Banan,BANANA
5252,Muzyka,MUSIC
5253,Mama,MOM
5254,Tata,DAD
5255,Spać,SLEEP
5256,Jedzenie,FOOD
5257,Wilk,WOLF
5258,Auto,CAR
5259,Wąsy,MUSTACHE
5260,Kura,HEN
5261,Kurki,HEN
5262,Huśtanie,SWING
5263,Buty,SHOES
5264,Adaś,PERSON
5265,Adam,PERSON
5266,Kawa,COFFEE
5267,Tata,DAD
5268,Daj,GIVE
5269,Golas,NAKED
5270,Idę ,GO
5271,Choddź,COME
5272,Mama,MOM
5273,Jeść ,EAT
5274,Dzisiaj,TODAY
5275,Mam,HAVE
5276,Chlapać,SPLASH
5277,Woda,WATER
5278,Serek,YOGHURT
5279,Broda ,CHIN
5280,Jej imię ,SELF
5281,Koło,CIRCLE
5282,Mrówka,ANT
5283,Czoło,FOREHEAD
5284,Ser,CHEESE
5285,Arbuz,WATERMELON
5286,Chce pić,DRINK
5287,Okulary,GLASSES
5288,Tańczymy ,DANCE
5289,Masz,HAVE
5290,Pociąg,TRAIN
5291,Inne,OTHER
5292,Siadaj,SIT
5293,Skarpetka,SOCK
5294,Chcesz,WANT
5295,Kółko,CIRCLE
5296,Raz,ONE
5297,Dwa,TWO
5298,Trzy,THREE
5299,Cztery,FOUR
5300,Pięć ,FIVE
5301,Smoczek,PACIFIER
5302,Siku,PEE
5303,Klucze,KEY
5304,Mleko,MILK
5305,Mucha,FLY
5306,Fajnie,COOL
5307,Piłka,BALL
5308,Patrz,LOOK
5309,Mus owocowy,MOUSSE
5310,Boli,HURTS
5311,Spinka,HAIR-CLIP
5312,Proszę,PLEASE
5313,Piłka,BALL
5314,Kwiatek,FLOWER
5315,Janek ,PERSON
5316,Marek,PERSON
5317,Ania,PERSON
5318,Ogórek,CUCUMBER
5319,Pupa,BOTTOM
5320,Pupa,BOTTOM
5321,Konik,HORSE
5322,Gosia,PERSON
5323,Idę,GO
5324,Goście,GUEST
5325,Choddź,COME
5326,Gęsi,GOOSE
5327,Dynia,PUMPKIN
5328,Julek,PERSON
5329,Leti kolezanka ze zlobka,FRIEND
5330,Kruk,RAVEN
5331,Osiołek,DONKEY
5332,Zegar,CLOCK
5333,Komin,CHIMNEY
5334,Kruk,RAVEN
5335,Ddźwięk gęsi,GOOSE
5336,Ddźwięk kruka,CROW
5337,Skarpetki,SOCK
5338,Szukać,SEARCHING
5339,Samolot,PLANE
5340,Obok,NEAR
5341,Połóż,LAY
5342,Dziewczynka,GIRL
5343,Kamyk,STONE
5344,Lampki ,LAMP
5345,śmieci,GARBAGE
5346,Dino imię maskotki,TOY
5347,Proszę,PLEASE
5348,Lody,ICE-CREAM
5349,Pomóż,HELP
5350,Niosę,CARRY
5351,Kolory,COLOR
5352,Komin,CHIMNEY
5353,Domek,HOME
5354,Wieża,TOWER
5355,Leży,LAYING
5356,Drzewo,TREE
5357,Motor,MOTORCYCLE
5358,Dużo,A-LOT
5359,Kotek,CAT
5360,Trzyma,HOLDING
5361,Sama,BY-MYSELF
5362,Moje,MY
5363,Zdjęcie ,PHOTO
5364,Uśmiech,SMILE
5365,Zepsuło się,BROKEN
5366,Guzik,BUTTON
5367,Kolano,KNEE
5368,Arbuz,WATERMELON
5369,ślimak,SNAIL
5370,Szybko,FAST
5371,Kocham,LOVE
5372,Kochanie,DARLING
5373,Jedzie,DRIVE
5374,Sprząta,CLEANING
5375,Zielony,GREEN
5376,Kolor,COLOR
5377,Czapka,CAP
5378,Noga ,LEG
5379,Zjeżdżalnia,SLIDE
5380,Huśtawka,SWING
5381,Lisek,FOX
5382,Żabka,FROG
5383,Grzybki,MUSHROOM
5384,Plasterek,BAND-AID
5385,Naklejka,STICKER
5386,Ćwiczyć,PRACTICE
5387,Motor,MOTORCYCLE
5388,Pojechał,DRIVE
5389,Idzie,GO
5390,Dużą,BIG
5391,Szukaj,SEARCHING
5392,Szukać,SEARCHING
5393,Już,NOW
5394,Teraz,NOW
5395,ABC,RHYME
5396,Koszulka,T-SHIRT
5397,śliwki,PLUM
5398,Cukinia,COURGETTE
5399,Statek,SHIP
5400,Babcia,GRANDMA
5401,Dziadek,GRANDPA
5402,Idą,GO
5403,Lisek,FOX
5404,NóŻ,KNIFE
5405,Domek,HOME
5406,Sprzątamy,CLEANING
5407,Rysować,DRAW
5408,Lisek,FOX
5409,Popatrz,LOOK
5410,Trzymaj,HOLDING
5411,Konik,HORSE
5412,Spacerek,STROLL
5413,Do widzenia,GOOD-BYE
5414,Gofry ,WAFFLE
5415,Fasola,BEAN
5416,Okruszek,CRUMB
5417,Loki,CURLS
5418,Włączyć,TURN-ON
5419,Szybko,FAST
5420,Dalej,FURTHER
5421,Piosenki,SONG
5422,Jedzonko,FOOD
5423,Dobre,GOOD
5424,Pojechał,DRIVE
5425,Smakuje,DELICIOUS
5426,Naklejki,STICKER
5427,Halinka,PERSON
5428,Aga,PERSON
5429,Agnieszka,PERSON
5430,Emil,PERSON
5431,Wujek,UNCLE
5432,Ciocia,AUNT
5433,Żółty,YELLOW
5434,Czarny ,BLACK
5435,Zupa,SOUP
5436,Fasola,BEAN
5437,Kręć ,SPIN
5438,Mama,MOM
5439,Baba,GRANDMA
5440,Dziadzia,GRANDPA
5441,Ja,SELF
5442,Tam,THERE
5443,Tu,HERE
5444,Kuku,HURTS
5445,Rysowanie ,DRAW
5446,Żabka ,FROG
5447,Kotek,CAT
5448,Kupka,POOP
5449,Jedzenie,FOOD
5450,Papa,BYE
5451,Tak,YES
5452,Nie,NO
5453,Piesek,DOG
5454,Auto,CAR
5455,Miś,TEDDY-BEAR
5456,Nie,NO
5457,Noz ,KNIFE
5458,Tron=nocnik,POTTY
5459,Pilot,PILOT/REMOTE
5460,Serce,HEART
5461,Brawo,BRAVO
5462,Deszcz,RAIN
5463,Ciocia,AUNT
5464,Ser,CHEESE
5465,Piers,BREAST
5466,Kaczka,DUCK
5467,Kukułka ,CUCKOO
5468,Sowa ,OWL
5469,Proszę ,PLEASE
5470,Pilot,PILOT/REMOTE
5471,"Piosenki, tanczenie",DANCE
5472,"Piosenki, tanczenie",SONG
5473,Widelec,FORK
5474,Jeszcze,MORE
5475,Makaron,PASTA
5476,Dziecko,BABY
5477,Dom,HOME
5478,Picie,DRINK
5479,Piłka,BALL
5480,Winda,ELEVATOR
5481,Sam ,BY-MYSELF
5482,Pies,DOG
5483,Pij,DRINK
5484,Miś,TEDDY-BEAR
5485,Pielucha,DIAPER
5486,O nie,EXCLAMATION
5487,Pies,DOG
5488,Skarpetka,SOCK
5489,Uwaga,ATTENTION
5490,Mama,MOM
5491,Babcia,GRANDMA
5492,Sam,BY-MYSELF
5493,Dom,HOME
5494,Wstań,GET-UP
5495,Oko,EYE
5496,Nos,NOSE
5497,Jeszcze,MORE
5498,Choddź ,COME
5499,Sieddź,SIT
5500,Mikołaj ,PERSON
5501,Proszę ,PLEASE
5502,Dziękuję ,THANK-YOU
5503,Mikołaj ,PERSON
5504,Mama,MOM
5505,Tata,DAD
5506,Jeszcze,MORE
5507,Sieddź ,SIT
5508,Picie,DRINK
5509,Kot,CAT
5510,Jeż ,HEDGEHOG
5511,Geś ,GOOSE
5512,Bąk,BUMBLE-BEE
5513,Pupa,BOTTOM
5514,Buzia,FACE
5515,Foka,SEAL
5516,Pingwin,PENGUIN
5517,Garnek,POT
5518,Je,EAT
5519,Rak,CRAWFISH
5520,Mama,MOM
5521,Miś,TEDDY-BEAR
5522,Tata,DAD
5523,Nie,NO
5524,Tak,YES
5525,Nie ma czegoś lub kogoś. Coś się skończyło.,GONE
5526,Tam. Chce iść tam. Pójddź ze mną tam.,THERE
5527,Krowa,COW
5528,"śmieć, śmierci",GARBAGE-TRUCK
5529,"Coś upadło,, spadło. Ale też piłka. Odbijanie piłki",BAM
5530,Smoczek,PACIFIER
5531,Nos,NOSE
5532,Oko,EYE
5533,Ucho,EAR
5534,Brwi,EYEBROWS
5535,Pociąg,TRAIN
5536,A kuku. W zabawie chowam się pod kocykiem wychodzę i wołam a kuku.,PEEKABOO
5537,śpi,SLEEPING
5538,"Samochód, jedzie",CAR
5539,"Samochód, jedzie",DRIVE
5540,Motyl,BUTTERFLY
5541,świnia,PIG
5542,Kotek,CAT
5543,Pies,DOG
5544,Buty,SHOES
5545,Sowa,OWL
5546,Koń,HORSE
5547,Owca,SHEEP
5548,Balon,BALLOON
5549,Pszczoła,BEE
5550,Pępek,NAVEL
5551,Mokre,WET
5552,Kot,CAT
5553,Koń,HORSE
5554,Hop hop podskakiwać,HOP
5555,Choddź,COME
5556,Wstań,GET-UP
5557,świeci,SHINE
5558,Pies,DOG
5559,Maja,PERSON
5560,Myszka,MOUSE
5561,Choddź ze mną,COME
5562,Emilka,PERSON
5563,Choddź,COME
5564,Wstań,GET-UP
5565,Kot,CAT
5566,Małpka,MONKEY
5567,Jeż,HEDGEHOG
5568,Pan,MAN
5569,Moje,MY
5570,Żaba,FROG
5571,Spadło,BAM
5572,Kupa,POOP
5573,Bułka,BUN
5574,Woda,WATER
5575,"Je, np tata je",EAT
5576,Mleko,MILK
5577,Buty,SHOES
5578,Czapka,CAP
5579,świeci,SHINE
5580,Choinka,CHRISTMAS-TREE
5581,śnieg,SNOW
5582,Słoń,ELEPHANT
5583,Zając,RABBIT
5584,Stopa,FEET
5585,Noga,LEG
5586,Olek,PERSON
5587,Tosia,PERSON
5588,Choinka,CHRISTMAS-TREE
5589,Herbatka,TEA
5590,"Pić, chcę pić",DRINK
5591,Paweł,PERSON
5592,Edyta,PERSON
5593,Tosia,PERSON
5594,Płynie,SWIM
5595,Hulajnoga,SCOOTER
5596,Brawo,BRAVO
5597,Pyk pyk,POP
5598,Brudne,DIRTY
5599,Gabrysia,PERSON
5600,Nie ma,GONE
5601,"Dzieci, dziecko, żłobek",CHILDREN;CHILD;NURSERY
5602,Tutaj,HERE
5603,Jeż,HEDGEHOG
5604,Bulka,BUN
5605,Pociąg,TRAIN
5606,Babcia,GRANDMA
5607,żaba,FROG
5608,Sowa,OWL
5609,Jeszcze,MORE
5610,Miś,TEDDY-BEAR
5611,Mysz,MOUSE
5612,Pupa,BOTTOM
5613,Tam,THERE
5614,Jeszcze,MORE
5615,Pies,DOG
5616,Tata,DAD
5617,Kot,CAT
5618,Owca,SHEEP
5619,Koza,GOAT
5620,Małpa,MONKEY
5621,Krowa,COW
5622,Słoń,ELEPHANT
5623,Auto,CAR
5624,Zegar,CLOCK
5625,Mama,MOM
5626,Sowa,OWL
5627,Coś się stało,OH
5628,Ryczeć,ROAR
5629,Lew,LION
5630,Miotła,BROOM
5631,Pociąg,TRAIN
5632,Podziw,WOW
5633,Karetka,AMBULANCE
5634,Kura,HEN
5635,Nie,NO
5636,Jedzenie,FOOD
5637,Picie mleka,DRINK;MILK
5638,Upadek,BAM
5639,Określenie na niego samego,ME
5640,To,THIS
5641,Oko,EYE
5642,Mysz,MOUSE
5643,Nie ma,GONE
5644,Tam,THERE
5645,Zupa,SOUP
5646,żyrafa,GIRAFFE
5647,"śniadanie, kaszka",BREAKFAST;GROATS
5648,żaba,FROG
5649,Tak,YES
5650,Koń,HORSE
5651,Do widzenia,BYE
5652,Lecący samolot,PLANE
5653,Na siebie,ME
5654,Koło ,CIRCLE
5655,Kotek,CAT
5656,Słoń ,ELEPHANT
5657,Misio,TEDDY-BEAR
5658,Buzia,FACE
5659,Ciach ciach,CUTTING
5660,Kawa,COFFEE
5661,Mleko ,MILK
5662,Ryba,FISH
5663,Sikorka,TIT
5664,Czyta,READ
5665,Pastę (do zębów) ,TOOTH-PASTE
5666,Tam,THERE
5667,Banana (chcę) ,BANANA
5668,Franek - brat,SIBLING
5669,Gumka,HAIRBAND
5670,Cześć ,HI
5671,Mama,MOM
5672,Tata,DAD
5673,Babcia,GRANDMA
5674,Dziadziuś ,GRANDPA
5675,Jedzenie ,FOOD
5676,Masz,HAVE
5677,Kra kra,CROW
5678,Ucho,EAR
5679,świeci,SHINE
5680,Owad (bzyczacy) mucha lub biedronka,FLY
5681,Owad (bzyczacy) mucha lub biedronka,INSECT
5682,Owad (bzyczacy) mucha lub biedronka,LADYBUG
5683,Okulary,GLASSES
5684,Nie,NO
5685,Tak,YES
5686,Żaba ,FROG
5687,Opa (skakać lub do góry) ,JUMP
5688,Opa (skakać lub do góry) ,UP
5689,Pociąg ,TRAIN
5690,Serce,HEART
5691,Piłka ,BALL
5692,Nie ma,GONE
5693,Ser,CHEESE
5694,Grażynka (nasz odkurzacz) ,OBJECT
5695,Stop,STOP
5696,Choddź ,COME
5697,Słońce ,SUN
5698,Tuptup,STOMPING
5699,Bęc,BAM
5700,Baza,BASE
5701,Pompa,PUMP
5702,Czapka ,CAP
5703,Choinka,CHRISTMAS-TREE
5704,Kot,CAT
5705,Masz,HAVE
5706,Gorące ,HOT
5707,Mokre,WET
5708,Słońce ,SUN
5709,Ryba,FISH
5710,Dzięcioł ,WOODPECKER
5711,Duża ,BIG
5712,Kogut,COCK
5713,Pępek,NAVEL
5714,Spodnie ,TROUSERS
5715,Dżem ,JAM
5716,Skarpetki ,SOCK
5717,Mokre,WET
5718,W pracy,WORK
5719,Ręka ,HAND
5720,Uszy,EARS
5721,Popcorn,POPCORN
5722,Drzwi,DOOR
5723,Golas,NAKED
5724,Dzidziuś,BABY
5725,Czoło ,FOREHEAD
5726,Plecy,BACK
5727,Mokra,WET
5728,Popcorn ,POPCORN
5729,Ja (kto to zrobił?) ,SELF
5730,Stop,STOP
5731,Pingwin ,PENGUIN
5732,Malutkie,SMALL
5733,Ketchup,KETCHUP
5734,Kleję się ,STICKY
5735,Na stole,TABLE
5736,Koń ,HORSE
5737,Traktor,TRACTOR
5738,Kukuryku ,COCK
5739,Drzewo,TREE
5740,Dalej,FURTHER
5741,Krem,CREAM
5742,Mleko,MILK
5743,Samolot ,PLANE
5744,Golas ,NAKED
5745,Koparka,EXCAVATOR
5746,Mleko,MILK
5747,Puste,EMPTY
5748,Szukam,SEARCHING
5749,Puszczaj,LET-GO
5750,O Boże ,EXCLAMATION
5751,Zepsuł się ,BROKEN
5752,Samolot,PLANE
5753,Skakać ,JUMP
5754,Mydełko ,SOAP
5755,Ciepło ,WARM
5756,Koc,BLANKET
5757,Jest,TO-BE
5758,Żaba ,FROG
5759,Patyk,STICK
5760,Grzebyk,COMB
5761,Mocno,HARD
5762,Bąk,BUMBLE-BEE
5763,Owoc,FRUIT
5764,Piesek,DOG
5765,Ogon,TAIL
5766,Drugi,ANOTHER
5767,Oddaj,GIVE-BACK
5768,Mucha ,FLY
5769,świnka ,PIG
5770,Miejsce,PLACE
5771,Franek,PERSON
5772,Włączy ,TURN-ON
5773,Innego,OTHER
5774,Koń,HORSE
5775,Żaba,FROG
5776,"Babcia, baba",GRANDMA
5777,Mama,MOM
5778,Postać z bajki o imieniu Pacek,CHARACTER
5779,Woda,WATER
5780,Mleko,MILK
5781,Kawa,COFFEE
5782,Amen,AMEN
5783,Amen,AMEN
5784,Hania,PERSON
5785,Hania,PERSON
5786,Pies o imieniu Argo,PET
5787,Pies o imieniu Argo,PET
5788,"Dziecko, na ogół w wózku",BABY
5789,"Dziecko, na ogół w wózku",BABY
5790,Matka Boska,MOTHER-OF-GOD
5791,Matka Boska,MOTHER-OF-GOD
5792,Auto,CAR
5793,Auto,CAR
5794,Kombajn,HARVESTER
5795,Kombajn,HARVESTER
5796,Koparka,EXCAVATOR
5797,Koparka,EXCAVATOR
5798,Odkurzacz,VACUUM-CLEANER
5799,Odkurzacz,VACUUM-CLEANER
5800,Mysz,MOUSE
5801,Mysz,MOUSE
5802,Iść spać,SLEEPING
5803,Iść spać,SLEEPING
5804,"Pan, mężczyzna",MAN
5805,"Pan, mężczyzna",MAN
5806,Chomik,HAMSTER
5807,Dobre,GOOD
5808,Spoko,COOL
5809,Koniec,END 
5810,Ciocia,AUNT
5811,Spinka,HAIR-CLIP
5812,Kamyk,STONE
5813,Mango,MANGO
5814,Marta,PERSON
5815,Ogon,TAIL
5816,Dziadek,GRANDPA
5817,Kapusta,CABBAGE
5818,Pilot,PILOT/REMOTE
5819,Kogut,COCK
5820,Pociąg,TRAIN
5821,Maria,PERSON
5822,Martusia.,PERSON
5823,Koło,CIRCLE
5824,Tukan,TOUCAN
5825,Tukan,TOUCAN
5826,Golas,NAKED
5827,Polska,POLAND
5828,Owsianka,OATMEAL
5829,Kasia,PERSON
5830,Zosia,PERSON
5831,Kocyk,BLANKET
5832,Poduszka,PILLOW
5833,Piłka,BALL
5834,Owsianka,OATMEAL
5835,Traktor,TRACTOR
5836,Piłka,BALL
5837,Asystent,ASSISTANT
5838,Pianka,FOAM
5839,Sos,SAUCE
5840,Stolec,POOP
5841,Pies,DOG
5842,Różne znaczenia ,
5843,"Jeść, pić",DRINK
5844,"Jeść, pić",EAT
5845,"Auto, koło",CAR
5846,"Auto, koło",WHEEL
5847,"Kot, miau",CAT
5848,Mama,MOM
5849,Upadek niego lub czegoś ,BAM
5850,Buty,SHOES
5851,"Rżenie konia, koń",HORSE
5852,"Kici, kicia",CAT
5853,Nie chcę,DONT-WANT
5854,"Auć, boli",HURTS
5855,"Do góry, na ręce ",UP
5856,Babcia,GRANDMA
5857,"Turtur, traktor",TRACTOR
5858,Tak,YES
5859,Ten,THIS
5860,To,THIS
5861,Cześć,HI
5862,Cos nie jest dla niego ,DISGUSTING
5863,Ting (zabawka),TOY
5864,Ddźwięk owcy,SHEEP
5865,Koza,GOAT
5866,Ddźwięk wydawany przez lwa,LION
5867,Klucze,KEY
5868,Kółko,CIRCLE
5869,"Pupa, kupa",BOTTOM
5870,"Pupa, kupa",POOP
5871,Chcę tam,THERE
5872,Pies Aza,PET
5873,Naśladowanie świni ,PIG
5874,"Brum, samochod jedzie",CAR
5875,Banan,BANANA
5876,Emu,EMU
5877,A-psik,SNEEZE
5878,Dodo,BIRD
5879,Nie ma,GONE
5880,Jest,TO-BE
5881,Pojazd uprzywilejowany,AMBULANCE
5882,Pojazd uprzywilejowany,FIRE-BRIGADE
5883,Pojazd uprzywilejowany,POLICE
5884,"Halo, rozmowa przez telefon",HELLO
5885,Muczenie krowy,COW
5886,Tutaj,HERE
5887,Dzięki,THANK-YOU
5888,Nos,NOSE
5889,Oko,EYE
5890,Piciu,DRINK
5891,Kicia ,CAT
5892,Sowa,OWL
5893,Naśladowanie słonia,ELEPHANT
5894,Jedzenie,FOOD
5895,Hej hej,HI
5896,Wow,WOW
5897,Coś niespodziewanego albo niechcianego się wydarzylo,EXCLAMATION
5898,"Zgoda, potakiwanie",YES
5899,Buty,SHOES
5900,Chcę mleko z piersi,BREAST
5901,Elmer,PERSON
5902,"Baza, zbuduj bazę",BASE
5903,Akuku,PEEKABOO
5904,Alpaka,ALPACA
5905,"Bajka, ksiazeczka",BOOK
5906,"Bajka, ksiazeczka",TALE
5907,Bajka,TALE
5908,Brawo,BRAVO
5909,Basia,PERSON
5910,Brawo,BRAVO
5911,Bruce,PERSON
5912,Boli,HURTS
5913,"Buła, bułka",BUN
5914,"Libusia, kot",PET
5915,"Chapnięcie, ddźwięk krokodyla",CROCODILE
5916,Choddź,COME
5917,Trzy,THREE
5918,Daj,GIVE
5919,Dance,DANCE
5920,Drugi,ANOTHER
5921,Dwa,TWO
5922,Drugie,ANOTHER
5923,Widzisz,SEE
5924,Je,EAT
5925,Jeden,ONE
5926,Lalka,DOLL
5927,Zładź,GET-OFF
5928,Leci,FLYING
5929,Maja,PERSON
5930,Miś,TEDDY-BEAR
5931,Nie ma,GONE
5932,"No, potwierdzenie ",YES
5933,Nos,NOSE
5934,O boże,EXCLAMATION
5935,Choddź ,COME
5936,Ogon,TAIL
5937,Ojej,EXCLAMATION
5938,Ok,OK
5939,Spadło ,FALLING
5940,"Pan, ludzik z lego",MAN
5941,Pranie,WASH
5942,Pas,BELT
5943,Pampersa,DIAPER
5944,świnka pepa,CHARACTER
5945,Pies,DOG
5946,Pić,DRINK
5947,Długopis ,PEN
5948,Pucio,CHARACTER
5949,Pusto,EMPTY
5950,Siedzi,SIT
5951,"Ciach, krojenie",CUTTING
5952,Ptaki,BIRD
5953,Rakieta tenisowa,TENNIS-RACKET
5954,Kredki,CRAYONS
5955,"Kwi, świnka",PIG
5956,Koty,CAT
5957,Ucho,EAR
5958,Koniec,END 
5959,Kubek,CUP
5960,Ryba,FISH
5961,Rekin,SHARK
5962,Ajsza,PERSON
5963,Babo,
5964,Cześć ,HI
5965,Czytaj,READ
5966,Dom,HOME
5967,Duży,BIG
5968,Dziura,HOLE
5969,Jedzie,DRIVE
5970,Jeść,EAT
5971,Jeszcze,MORE
5972,"Kum kum, ddźwięk żaby",FROG
5973,Leci,FLYING
5974,"Oluś, on sam",SELF
5975,Siku,PEE
5976,Kot,CAT
5977,Autobus,BUS
5978,Bawić,PLAY
5979,Chleb ,BREAD
5980,Biega,RUNNING
5981,Brzuch,BELLY
5982,Bułka ,BUN
5983,Dach,ROOF
5984,Danny,PERSON
5985,Widelec,FORK
5986,"Bizon, imię kotki",PET
5987,Dom dla aut,GARAGE
5988,Poduszka,PILLOW
5989,George,PERSON
5990,Gra,GAME
5991,Kangurek,KANGAROO
5992,Misiu ,TEDDY-BEAR
5993,Kocyk,BLANKET
5994,Uwaga ,ATTENTION
5995,Lisek,FOX
5996,Samolot,PLANE
5997,Słucham,LISTEN
5998,Spanie,SLEEP
5999,Łyżka,SPOON
6000,Spać,SLEEP
6001,Rekawiczki,GLOVE
6002,Kapcie,SLIPPERS
6003,Czapka,CAP
6004,Pan,MAN
6005,Pani ,LADY
6006,Koparka,EXCAVATOR
6007,Pas,BELT
6008,Przepraszam,SORRY
6009,Proszę,PLEASE
6010,Patataj,HORSE
6011,Pilot,PILOT/REMOTE
6012,Traktor,TRACTOR
6013,Konik,HORSE
6014,Umyje,WASH
6015,"Olusia, coś jest jego",SELF
6016,"Nie da się, nie wyszło ",CANT
6017,Ogórek,CUCUMBER
6018,Basen,SWIMMING-POOL
6019,Osiem,EIGHT
6020,Cicho,QUIET
6021,Zęby,TEETH
6022,Umyć,WASH
6023,Nalać,POUR
6024,Kotek,CAT
6025,ślimak,SNAIL
6026,Idziemy,GO
6027,Do piaskownicy,SANDBOX
6028,Brudne,DIRTY
6029,Umyć,WASH
6030,Nalać,POUR
6031,Daj,GIVE
6032,Nalac ,POUR
6033,Spychacz,BULLDOZER
6034,Betoniarka,CEMENT-MIXER
6035,Skarpeta,SOCK
6036,Cztery,FOUR
6037,Pięć ,FIVE
6038,Sześć ,SIX
6039,Siedem,SEVEN
6040,Osiem,EIGHT
6041,Dziewięć ,NINE
6042,Dziesięć ,TEN
6043,Balkon,BALCONY
6044,Brusik,
6045,Dziadek,GRANDPA
6046,Do widzenia,GOOD-BYE
6047,Dobranoc,GOOD-NIGHT
6048,Zjeżdżalnia,SLIDE
6049,Schody,STAIRS
6050,Koparka,EXCAVATOR
6051,Konik,HORSE
6052,Patataj,HORSE
6053,Dziękuję ,THANK-YOU
6054,Mama świnka,CHARACTER
6055,Tata świnka,CHARACTER
6056,Chcę iść do piaskownicy,SANDPIT
6057,Broda,CHIN
6058,Usta,MOUTH
6059,Ciemno,DARK
6060,Wysoko,HIGH
6061,Noc,NIGHT
6062,Krzesełko,CHAIR
6063,Kredka,CRAYONS
6064,Kreda,CHALK
6065,Grabki,RAKE
6066,Łopatka,SHOVEL
6067,Plac zabaw,PLAYGROUND
6068,Żabka,FROG
6069,Bluza,SWEATSHIRT
6070,Jw,MOM
6071,Zebra,ZEBRA
6072,Pojechał,DRIVE
6073,Przyczepić,STICK
6074,Talerzyk,PLATE
6075,Gra,GAME
6076,Widelec,FORK
6077,śpiworek,SLEEPING-BAG
6078,Jw,DIFFERENT
6079,Telefon,PHONE
6080,Ddźwięki kury ,CHICKEN
6081,Jw,CHIMNEY
6082,Kura,HEN
6083,Chlebek,BREAD
6084,Muzyka,MUSIC
6085,Otworzyć,OPEN
